maxArrSumNeg, m224, t50, w4, 5456, 145, 40990, 47156, 182.9911, 0.9358, 1910, 63, a2, 010111
selectSort, m30, t50, w2, 1013, 164, 13326, 14509, 434.5435, 0.9101, 1900, 45, a2, 100111
primes, m34, t100, w4, 575, 102, 1255, 1947, 36.9265, 0.8793, 398, 30, a2, 100111
add, m24, t100, w4, 338, 97, 218, 862, 9.0833, 0.9167, 583, 13, a4, 101011
longestIncrease, m38, t50, w2, 1703, 10486, 42558, 47940, 1119.9474, 0.9196, 1946, 70, a2, 010111
massive, m24, t60, w2, 68, 108138, 75, 54237, 3.0612, 1.0, 169, 13, a4, 000000
bubbleSort, m56, t50, w4, 1239, 147, 38430, 39860, 680.1858, 0.9182, 1900, 41, a2, 011111
genPassword, m16, t100, w2, 489, 316, 1764, 2381, 108.0408, 0.8367, 398, 63, a5, 011010
maxArrSumNeg, m56, t50, w8, 1293, 19, 5060, 6448, 90.3661, 0.9358, 1910, 63, a3, 101111
anagram, m120, t100, w4, 2010, 100, 10004, 12504, 83.3667, 0.9286, 1370, 37, a2, 100111
dictionaryOrder, m35, t100, w8, 593, 40, 2501, 3265, 70.4507, 0.9265, 8248, 32, a3, 100111
primes, m136, t100, w8, 2238, 38, 1728, 4228, 12.7059, 0.8793, 398, 30, a3, 101111
mergeSort, m75, t50, w4, 2197, 148, 7612, 9889, 101.0531, 0.9336, 1900, 129, a2, 000010
minProd, m362, t50, w2, 13182, 162, 31670, 46276, 87.4862, 0.8659, 1946, 72, a2, 001111
bubbleSort, m56, t50, w2, 1819, 161, 106590, 108786, 1886.5487, 0.9182, 1900, 41, a2, 011111
dictionaryOrder, m23, t100, w4, 386, 101, 3873, 4429, 163.6761, 0.9265, 8248, 32, a3, 111111
anagram, m120, t100, w8, 1994, 45, 10006, 12294, 83.3833, 0.9286, 1370, 37, a2, 101111
massive, m98, t60, w2, 274, 108138, 300, 216950, 3.0612, 1.0, 169, 13, a4, 000000
minProd, m90, t50, w8, 2260, 24, 2515, 4871, 27.7956, 0.8659, 1946, 72, a2, 110111
quickSort, m42, t50, w4, 1502, 48, 9295, 10928, 219.5827, 0.9603, 1900, 56, a2, 111111
minProd, m60, t50, w8, 1506, 24, 1677, 3247, 27.7956, 0.8659, 1946, 72, a2, 110111
insertSort, m216, t50, w4, 4642, 51, 24554, 29450, 113.6759, 0.9444, 1900, 40, a4, 111010
quickSort, m63, t50, w2, 3402, 165, 38557, 42293, 607.1969, 0.9603, 1900, 56, a3, 000111
mergeSort, m113, t50, w8, 3433, 21, 5278, 8771, 46.7124, 0.9336, 1900, 129, a2, 110010
huffmanCodingEff, m99, t50, w2, 7359, 166, 20256, 28059, 203.5779, 0.849, 1874, 239, a3, 011111
transpose, m49, t50, w4, 1252, 52, 6966, 8264, 140.2617, 0.8993, 903, 40, a2, 100011
selectSort, m46, t50, w2, 1520, 164, 19989, 21764, 434.5435, 0.9101, 1900, 45, a2, 100111
add, m6, t100, w4, 84, 97, 54, 215, 9.0833, 0.9167, 583, 13, a4, 101011
add, m4, t100, w2, 92, 316, 128, 345, 32.0833, 0.9167, 583, 13, a3, 100011
