add, m12, t100, w8, 171, 43, 48, 373, 4, 0.9167, 583, 13, a4, 111110
bubbleSort, m113, t50, w2, 7453, 163, 219520, 227944, 1942.6549, 0.9182, 1900, 41, a4, 010100
genPassword, m49, t100, w2, 1497, 321, 5564, 7607, 113.551, 0.8367, 398, 63, a2, 110111
squareMatrix, m182, t50, w4, 4766, 155, 23183, 28182, 127.3791, 1.0, 903, 72, a3, 000010
genPassword, m49, t100, w4, 1013, 301, 2044, 3493, 41.7143, 0.8367, 398, 63, a2, 001111
huffmanCodingEff, m199, t50, w2, 15370, 163, 40733, 56907, 204.6884, 0.849, 1874, 239, a3, 111111
huffmanCoding, m314, t50, w2, 26798, 163, 72129, 100254, 229.7102, 0.9013, 1874, 318, a5, 111111
factorial, m31, t100, w8, 513, 42, 5077, 5693, 163.7742, 0.9677, 403, 18, a2, 100010
squareMatrix, m182, t50, w4, 4648, 48, 23080, 27856, 126.8132, 1.0, 903, 72, a3, 100010
selectSort, m92, t50, w2, 3081, 162, 39950, 43776, 434.2391, 0.9101, 1900, 45, a2, 111110
parg, m2509, t52, w4, 425505, 52, 2583, 444451, 1.0295, 1.0, 418, 2518, a3, 111110
huffmanCoding, m314, t50, w4, 17900, 51, 34343, 52497, 109.3726, 0.9013, 1874, 318, a4, 101011
bubbleSort, m113, t50, w2, 3702, 170, 213929, 218343, 1893.177, 0.9182, 1900, 41, a3, 010111
insertSort, m108, t50, w8, 2367, 22, 6292, 8749, 58.2593, 0.9444, 1900, 40, a2, 111010
longestIncrease, m114, t50, w2, 10010, 10191, 132816, 153436, 1165.0526, 0.9196, 1946, 70, a4, 110101
longestIncrease, m114, t50, w4, 9781, 3460, 49755, 63095, 436.4474, 0.9035, 1946, 70, a3, 110000
primes, m68, t100, w4, 1159, 101, 2533, 4224, 37.25, 0.8793, 398, 30, a2, 100110
factorial, m31, t100, w8, 494, 292, 5081, 6085, 163.9032, 0.9677, 403, 18, a2, 011110
dictionaryOrder, m71, t100, w8, 1127, 40, 5003, 6568, 70.4648, 0.9265, 8248, 32, a2, 111111
mergeSort, m226, t50, w2, 10220, 162, 68138, 79851, 301.4956, 0.9336, 1900, 129, a3, 111110
massive, m49, t60, w8, 1677, 19170, 51582, 72481, 1052.6939, 1.0, 169, 13, a5, 111000
factorial, m31, t100, w8, 505, 40, 5272, 5876, 170.0645, 0.9677, 403, 18, a5, 110011
longestIncrease, m114, t50, w2, 9916, 9396, 132392, 152165, 1161.3333, 0.9196, 1946, 70, a3, 001101
parg, m2509, t52, w8, 432965, 19, 808, 445003, 0.322, 1.0, 418, 2518, a5, 101110
longestIncrease, m114, t50, w2, 4962, 9628, 135761, 151083, 1190.886, 0.9196, 1946, 70, a3, 011110
genPassword, m49, t100, w8, 989, 280, 975, 2316, 19.898, 0.8367, 398, 63, a2, 000010
factorial, m31, t100, w8, 516, 39, 5276, 5896, 170.1935, 0.9677, 403, 18, a5, 110010
factorial, m31, t100, w2, 1597, 321, 19592, 21690, 632, 0.9677, 403, 18, a2, 000101
parg, m2509, t52, w4, 434376, 54, 2596, 437661, 1.0347, 1.0, 418, 2518, a5, 100011
factorial, m31, t100, w4, 1544, 101, 7035, 8739, 226.9355, 0.9677, 403, 18, a3, 110001
genPassword, m49, t100, w4, 988, 97, 2027, 3258, 41.3673, 0.8367, 398, 63, a3, 111111
parg, m2509, t52, w8, 435570, 21, 810, 436999, 0.3228, 1.0, 418, 2518, a4, 111011
huffmanCodingEff, m199, t50, w8, 10720, 23, 6040, 17337, 30.3518, 0.849, 1874, 239, a3, 111111
transpose, m149, t50, w8, 3764, 144, 10122, 14517, 67.9329, 0.9054, 903, 40, a3, 001111
factorial, m31, t100, w8, 1493, 43, 5074, 6672, 163.6774, 0.9677, 403, 18, a2, 111001
minProd, m181, t50, w8, 4484, 20, 5032, 10330, 27.8011, 0.8659, 1946, 72, a3, 111110
mergeSort, m226, t50, w2, 10420, 165, 68217, 80153, 301.8451, 0.9336, 1900, 129, a2, 110110
anagram, m60, t100, w2, 3221, 323, 8133, 11738, 135.55, 0.8667, 1370, 37, a5, 101000
transpose, m149, t50, w8, 3819, 142, 10121, 14548, 67.9262, 0.9054, 903, 40, a3, 011111
huffmanCodingEff, m199, t50, w8, 10256, 139, 6018, 17072, 30.2412, 0.849, 1874, 239, a2, 011111
insertSort, m108, t50, w4, 2378, 146, 12361, 15073, 114.4537, 0.9444, 1900, 40, a3, 010111
bubbleSort, m113, t50, w4, 2470, 51, 77065, 79815, 681.9912, 0.9182, 1900, 41, a2, 101111
factorial, m31, t100, w2, 1563, 312, 19556, 21678, 630.8387, 0.9677, 403, 18, a2, 010100
parg, m2509, t52, w2, 436859, 176, 8562, 455708, 3.4125, 1.0, 418, 2518, a4, 100111
parg, m2509, t52, w4, 428146, 52, 8282, 452799, 3.3009, 1.0, 418, 2518, a4, 100110
parg, m2509, t52, w4, 426957, 161, 2556, 445516, 1.0187, 1.0, 418, 2518, a2, 010110
squareMatrix, m182, t50, w8, 4701, 22, 10319, 15368, 56.6978, 1.0, 903, 72, a2, 101111
factorial, m31, t100, w2, 773, 292, 19536, 20870, 630.1935, 0.9677, 403, 18, a2, 100110
genPassword, m49, t100, w2, 1462, 317, 5513, 7360, 112.5102, 0.8367, 398, 63, a2, 010010
quickSort, m127, t50, w8, 4702, 147, 15006, 20506, 118.1575, 0.9603, 1900, 56, a2, 000110
dictionaryOrder, m71, t100, w2, 3595, 320, 33900, 38119, 477.4648, 0.9265, 8248, 32, a2, 010101
bubbleSort, m113, t50, w4, 2450, 51, 77020, 79747, 681.5929, 0.9182, 1900, 41, a3, 111111
add, m12, t100, w2, 277, 327, 418, 1076, 34.8333, 0.9167, 583, 13, a3, 101011
transpose, m149, t50, w2, 11889, 157, 62201, 74333, 417.4564, 0.8993, 903, 40, a5, 010001
transpose, m149, t50, w2, 11893, 158, 62002, 74138, 416.1208, 0.8993, 903, 40, a2, 110001
mergeSort, m226, t50, w4, 6800, 50, 22869, 29814, 101.1903, 0.9336, 1900, 129, a2, 100011
insertSort, m108, t50, w4, 2454, 149, 12321, 15117, 114.0833, 0.9444, 1900, 40, a2, 010111
factorial, m31, t100, w2, 1592, 321, 19526, 21698, 629.871, 0.9677, 403, 18, a2, 000100
parg, m2509, t52, w4, 427805, 175, 2647, 431241, 1.055, 1.0, 418, 2518, a5, 010010
parg, m2509, t52, w4, 426196, 171, 2629, 429599, 1.0478, 1.0, 418, 2518, a5, 001010
massive, m49, t60, w4, 1913, 38295, 63674, 103988, 1299.4694, 1.0, 169, 13, a5, 110101
parg, m2509, t52, w2, 444471, 176, 8414, 453661, 3.3535, 1.0, 418, 2518, a4, 000010
bubbleSort, m113, t50, w2, 7534, 165, 225743, 234218, 1997.7257, 0.9182, 1900, 41, a3, 101100
mergeSort, m226, t50, w4, 7146, 158, 23148, 30552, 102.4248, 0.9336, 1900, 129, a5, 001010
transpose, m149, t50, w2, 11904, 161, 61980, 74135, 415.9732, 0.8993, 903, 40, a2, 010001
mergeSort, m226, t50, w2, 10159, 164, 68179, 79209, 301.677, 0.9336, 1900, 129, a4, 110111
anagram, m60, t100, w8, 1018, 299, 5486, 6904, 91.4333, 0.9286, 1370, 37, a4, 010111
selectSort, m92, t50, w2, 6162, 163, 40070, 46970, 435.5435, 0.9101, 1900, 45, a2, 111100
factorial, m31, t100, w4, 1611, 100, 7039, 8805, 227.0645, 0.9677, 403, 18, a3, 100000
mergeSort, m226, t50, w2, 10275, 162, 68248, 78780, 301.9823, 0.9336, 1900, 129, a2, 100010
longestIncrease, m114, t50, w4, 3191, 10239, 49019, 62542, 429.9912, 0.9035, 1946, 70, a5, 001011
factorial, m31, t100, w8, 502, 40, 5087, 5686, 164.0968, 0.9677, 403, 18, a2, 100011
add, m12, t100, w2, 327, 325, 424, 1187, 35.3333, 0.9167, 583, 13, a4, 101010
genPassword, m49, t100, w4, 986, 100, 2055, 3273, 41.9388, 0.8367, 398, 63, a2, 111111
mergeSort, m226, t50, w2, 20485, 158, 68887, 90936, 304.8097, 0.9336, 1900, 129, a4, 000100
parg, m2509, t52, w4, 430085, 173, 2571, 433468, 1.0247, 1.0, 418, 2518, a3, 000010
selectSort, m92, t50, w2, 3089, 163, 40084, 43904, 435.6957, 0.9101, 1900, 45, a2, 110110
parg, m2509, t52, w8, 448553, 140, 817, 451034, 0.3256, 1.0, 418, 2518, a3, 000111
quickSort, m127, t50, w2, 13443, 163, 82039, 96493, 645.9764, 0.9603, 1900, 56, a2, 000100
primes, m68, t100, w8, 1113, 38, 887, 2149, 13.0441, 0.8793, 398, 30, a2, 100111
mergeSort, m226, t50, w4, 6781, 49, 22772, 30931, 100.7611, 0.9336, 1900, 129, a2, 111110
minProd, m181, t50, w4, 4445, 156, 5298, 9983, 29.2707, 0.7845, 1946, 72, a2, 011010
primes, m68, t100, w2, 1785, 312, 6798, 9344, 99.9706, 0.8793, 398, 30, a4, 010110
transpose, m149, t50, w2, 5804, 160, 62356, 68404, 418.4966, 0.8993, 903, 40, a4, 001011
bubbleSort, m113, t50, w4, 2521, 50, 76941, 80271, 680.8938, 0.9182, 1900, 41, a3, 110110
factorial, m31, t100, w8, 491, 38, 5081, 5714, 163.9032, 0.9677, 403, 18, a2, 101111
transpose, m149, t50, w4, 4094, 134, 20900, 25221, 140.2685, 0.8993, 903, 40, a2, 001011
genPassword, m49, t100, w4, 1008, 290, 2018, 3377, 41.1837, 0.8367, 398, 63, a3, 010010
longestIncrease, m114, t50, w2, 9891, 10027, 130899, 151553, 1148.2368, 0.9196, 1946, 70, a4, 110100
anagram, m60, t100, w4, 1024, 98, 5002, 6265, 83.3667, 0.9286, 1370, 37, a3, 100111
insertSort, m108, t50, w8, 2376, 140, 6328, 8972, 58.5926, 0.9444, 1900, 40, a2, 000111
massive, m49, t60, w8, 617, 19150, 51705, 71526, 1055.2041, 1.0, 169, 13, a5, 110010
squareMatrix, m182, t50, w8, 4778, 23, 10348, 15233, 56.8571, 1.0, 903, 72, a3, 101011
genPassword, m49, t100, w2, 1514, 315, 5556, 7616, 113.3878, 0.8367, 398, 63, a3, 111111
mergeSort, m226, t50, w2, 10150, 169, 68260, 78672, 302.0354, 0.9336, 1900, 129, a3, 100010
transpose, m149, t50, w2, 5866, 161, 62007, 68833, 416.1544, 0.8993, 903, 40, a4, 011111
dictionaryOrder, m71, t100, w2, 1927, 323, 33534, 36081, 472.3099, 0.9265, 8248, 32, a2, 111111
add, m12, t100, w2, 287, 325, 364, 1101, 30.3333, 0.9167, 583, 13, a3, 111110
parg, m2509, t52, w8, 434719, 23, 1310, 447333, 0.5221, 1.0, 418, 2518, a4, 101110
dictionaryOrder, m71, t100, w2, 1933, 325, 34183, 36770, 481.4507, 0.9265, 8248, 32, a2, 000111
longestIncrease, m114, t50, w2, 4838, 9581, 130634, 145770, 1145.9123, 0.9196, 1946, 70, a2, 011110
factorial, m31, t100, w4, 523, 299, 7032, 7968, 226.8387, 0.9677, 403, 18, a3, 001111
parg, m2509, t52, w4, 426522, 55, 2571, 429757, 1.0247, 1.0, 418, 2518, a2, 111011
factorial, m31, t100, w2, 1590, 324, 19569, 21544, 631.2581, 0.9677, 403, 18, a5, 110000
parg, m2509, t52, w2, 426630, 180, 8555, 452347, 3.4097, 1.0, 418, 2518, a4, 111110
transpose, m149, t50, w4, 3752, 148, 20909, 24895, 140.3289, 0.8993, 903, 40, a2, 000010
parg, m2509, t52, w8, 433013, 22, 810, 435601, 0.3228, 1.0, 418, 2518, a3, 111111
massive, m49, t60, w8, 1704, 19153, 51601, 72543, 1053.0816, 1.0, 169, 13, a5, 111101
insertSort, m108, t50, w2, 7166, 160, 24629, 32314, 228.0463, 0.92, 1900, 40, a5, 011101
mergeSort, m226, t50, w4, 6700, 50, 22854, 29697, 101.1239, 0.9336, 1900, 129, a3, 100010
longestIncrease, m114, t50, w2, 4903, 9466, 131544, 146664, 1153.8947, 0.9196, 1946, 70, a4, 000110
mergeSort, m226, t50, w2, 10597, 163, 68948, 79806, 305.0796, 0.9336, 1900, 129, a5, 001010
factorial, m31, t100, w4, 1600, 102, 7031, 8841, 226.8065, 0.9677, 403, 18, a2, 100101
anagram, m60, t100, w8, 1004, 41, 5002, 6357, 83.3667, 0.9286, 1370, 37, a2, 101110
minProd, m181, t50, w2, 6734, 162, 15795, 23274, 87.2652, 0.8659, 1946, 72, a2, 000111
dictionaryOrder, m71, t100, w8, 1170, 39, 5004, 6545, 70.4789, 0.9265, 8248, 32, a2, 110111
anagram, m60, t100, w8, 1008, 269, 5002, 6383, 83.3667, 0.9286, 1370, 37, a3, 010111
longestIncrease, m114, t50, w4, 9908, 3441, 50111, 63552, 439.5702, 0.9035, 1946, 70, a2, 100001
primes, m68, t100, w2, 1777, 314, 7184, 9576, 105.6471, 0.8793, 398, 30, a2, 110111
primes, m68, t100, w2, 1731, 303, 7217, 9554, 106.1324, 0.8793, 398, 30, a3, 011111
genPassword, m49, t100, w2, 1468, 321, 5659, 7512, 115.4898, 0.8367, 398, 63, a4, 011011
squareMatrix, m182, t50, w8, 4696, 133, 10315, 15498, 56.6758, 1.0, 903, 72, a2, 010111
huffmanCoding, m314, t50, w8, 18763, 139, 15285, 35736, 48.6783, 0.9279, 1874, 318, a2, 001110
mergeSort, m226, t50, w4, 6665, 51, 22904, 29714, 101.3451, 0.9336, 1900, 129, a4, 101011
factorial, m31, t100, w8, 486, 272, 5079, 6031, 163.8387, 0.9677, 403, 18, a3, 010110
primes, m68, t100, w4, 1145, 101, 2539, 4234, 37.3382, 0.8793, 398, 30, a3, 101110
dictionaryOrder, m71, t100, w4, 1155, 308, 11753, 13701, 165.5352, 0.9265, 8248, 32, a2, 000110
bubbleSort, m113, t50, w2, 7675, 159, 212940, 221312, 1884.4248, 0.9182, 1900, 41, a2, 000101
parg, m2509, t52, w2, 436415, 176, 8536, 445716, 3.4022, 1.0, 418, 2518, a4, 011010
